physician,area,population,senior,bed,crime,income
23677,4060,8863164,9.7,27700,688936,184230
15153,946,5105067,12.4,21550,436936,110928
7553,1729,2818199,7.1,12449,253526,55003
5905,4205,2498016,10.9,6179,173821,48931
6062,790,2410556,9.2,6369,144524,58818
4861,71,2300664,12.4,8942,680966,38658
4320,9204,2122101,12.5,6104,177593,38287
3823,614,2111687,12.5,9490,193978,36872
6274,1945,1937094,13.9,8840,244725,34525
4718,880,1852810,8.2,6934,214258,38911
6641,135,1585577,15.2,10494,109148,26512
5280,2126,1507319,11.1,4009,124959,35843
4101,1291,1497577,8.7,3342,77009,37728
2463,20062,1418380,8.8,3349,83110,23260
5620,458,1412140,15.6,8132,73150,29776
5158,824,1398468,12.5,4152,35825,35398
5281,730,1336449,17.4,8436,50186,27639
3021,911,1321864,10.8,3904,66723,32071
6147,287,1287348,14.2,5200,43203,40782
3169,738,1279182,10.6,3284,107338,28331
2456,1209,1255488,20.7,5543,107386,28066
3062,1247,1185394,9.9,4086,133098,18383
1385,7208,1170413,13.2,2435,95494,20114
1677,864,1170103,8.3,3672,132495,22027
4020,873,1083592,10.9,3254,50964,29131
2464,966,1041219,10.6,2855,84305,19714
3706,557,1032431,11.3,5395,71753,24474
1194,508,993529,13.1,1056,42595,24062
2748,1045,968532,15.2,4632,55306,17729
2675,540,961437,9.6,4011,82680,18306
2774,242,959275,13.6,4141,73681,17680
4577,433,874866,14.4,3540,37118,29159
3164,407,866228,13.3,4683,57208,17827
1833,1974,863518,24.4,3164,76142,23141
2851,736,851783,14.1,2940,51926,21188
1620,280,851659,26,4458,62344,18404
2025,600,836231,11,2174,51032,17818
2012,1051,834054,12.2,3068,89895,14075
2417,626,827645,13.3,2494,44374,26768
2489,755,826330,10.4,4918,67032,15229
3226,234,825380,15.3,2279,28521,26602
1694,396,818584,6.5,135,30202,23738
3161,606,804219,14.7,2486,52903,17851
1761,720,803732,10.9,1781,51243,20514
2936,396,797159,11.7,4654,61004,15264
2157,334,781666,8.7,1842,29708,20927
2811,126,778206,12.7,4841,75595,19084
4635,495,757027,10.2,1507,34754,22772
969,7911,741459,10.5,2011,52786,13810
5444,81,736014,13.7,6203,87355,12706
1253,486,729268,6.9,1322,54469,14270
2094,737,725956,8.5,2076,58610,11179
4761,47,723959,14.5,3640,71234,20656
705,480,717400,12.3,1202,41048,15011
2438,659,713968,12.5,3077,43780,15451
1902,1513,709705,13.7,2205,7099,14120
1269,599,692134,14,641,46789,16244
3237,483,678111,15,2425,20335,19300
1367,908,677491,10.6,2929,52577,12113
1538,774,672971,10.7,2623,68586,11886
1637,311,671780,11.8,1880,30548,16725
1185,498,670080,14.1,2009,34312,15301
1168,1846,669016,9.4,1372,30235,14330
1188,5963,667490,10.4,1681,62004,10923
1841,9187,666880,13.7,2016,57051,10131
2171,385,664937,13.4,3559,32419,12727
5674,59,663906,12.1,6154,68808,15369
2532,1113,651525,14,4602,55604,12134
1814,449,649623,12.3,1642,30473,18721
3368,529,648951,10,5757,93025,14808
1695,605,633232,13.1,3762,61760,11785
2758,400,616087,14.1,1903,14830,16578
3674,61,606900,12.8,4262,64393,14325
1922,709,599611,12.1,3487,57045,10638
1862,413,596270,15.8,2360,34627,10653
795,1013,591610,8.1,1650,54002,6830
915,1676,586203,10.5,1226,41980,9493
2571,435,583887,13.6,3009,58216,11219
1254,989,576407,7.3,1392,60961,10571
1313,462,573809,12.6,3068,36665,10564
1300,472,553124,12.7,1904,22302,15151
1036,47,553099,12.7,2443,40581,10212
1374,184,547651,15.5,1588,18924,12956
1036,268,545837,8.5,922,56950,11465
682,8142,543477,9.7,1194,36318,8631
879,608,541174,10.9,1435,16894,12202
1093,448,516418,8.4,1499,22349,14138
1216,413,514990,13.8,2226,26228,9570
1114,527,511433,9.4,2021,57999,10710
2293,502,510784,11.6,3847,45237,9963
572,556,506325,14.4,1306,22023,9378
1158,570,503341,11.5,2512,39496,9712
1255,222,502824,12.2,2041,34814,10021
1007,856,500631,10.8,1460,31553,9349
2500,181,496938,13,4018,54238,8238
1362,103,493819,15,2541,30299,12962
1512,156,485765,12.2,1140,30574,9862
666,1399,480628,11.1,1051,41179,7427
1585,1166,480577,10.5,1726,41280,8419
707,497,475594,12.3,2413,29926,7765
1534,780,468973,13,1668,23249,9099
2867,153,467610,13.8,3652,37466,10360
502,2090,465642,9.5,672,20323,8635
1391,340,462361,13,3021,38194,8237
904,619,456310,14.8,1665,24247,8703
831,185,453060,12.9,1912,26434,9955
1237,306,448306,10.2,1648,41625,7666
622,340,447745,6.3,983,27582,9820
1038,426,441946,11.4,1488,27717,9848
551,772,438430,8,298,23453,9206
576,661,435276,11.6,813,14846,9358
513,636,433203,23.2,1475,17379,9086
692,640,430459,10.2,1830,33136,7244
616,416,427239,8.8,617,21826,9740
761,834,423380,7.8,1199,26006,8746
574,949,422822,13.1,1241,13086,7982
1147,469,421353,10.6,1599,12147,13281
